concat(bus_name,',',hour,',',power)
4,0,0.02948888168160502
4,1,0.017220169058139122
4,2,0.00498057840464919
4,3,-0.0026038262648596794
4,4,-0.011702005160767477
4,5,-0.01564560400265614
4,6,0.007100894704621186
4,7,0.011079104464334818
4,8,0.01501512456922841
4,9,0.018980990580019345
4,10,0.022932954424904787
4,11,0.026900601279083444
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
12,0,0.01431989319763675
12,1,0.007288923266141015
12,2,0.0018541182193225595
12,3,-0.002006767577755631
12,4,-0.009112344274211115
12,5,-0.012343775147346577
12,6,0.0006221497539809013
12,7,0.004555351391000694
12,8,0.00853074268306126
12,9,0.01247628806897391
12,10,0.01643573562081843
12,11,0.02037950016338376
12,12,0
12,13,0
12,14,0
12,15,0
12,16,0
12,17,0
12,18,0
12,19,0
12,20,0
12,21,0
12,22,0
12,23,0
